Locus_name,Genes
17q12_CNAamp,5409 100616132 10948 2886 84299 8557 2064 22806 84152 4761 93210
18q21.2_CNAdel,55520 4089
9p21.3_CNAdel,1029 51198 4507 1030
8p11.21_CNAamp,10947 114926 5327 5423 6575 27121 692215 7994 7419 286 3551
11q13.3_CNAamp,2248 1374 219927 3508 116512 116535 219931 100422846 26579 595 220064 9965 2249 55107 8772 8500 100313770 2017 22941
8q24.21_CNAamp,4609 157638 100750225 103164619 100507056 727677 5462 100302185 641384 100302161 100302175 100302281 106480903 728724 106479187 137196 100500839 56169 50807
7p11.2_CNAamp,1956
6p25.3_CNAdel,2296 2762
10p11.21_CNAdel,56288
3q26.2_CNAamp,7012 84517 79782 344657 344658 151827 55892 7095 27333 93556 693136 2122 26996 80012 5584 6498 5010 57709 100379664 200916 56648 6514 23043 693154
19q12_CNAamp,898
2q14.2_CNAamp,100151683 80775 165257 5899 84365 5775 29842 106481050 79134 106479263 23332 3625 2736 130355 8886 645694 140738 84931 51141 57669 6344 55240 7247 1622 2019 8685 54520
